name,generic_name,manufacturer,purpose,warnings,route,dosage_form
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Immediate hypersensitivity reactions may occur after administration of ipratropium bromide, as demonstrated by urticaria, angioedema, rash, bronchospasm, anaphylaxis, and oropharyngeal edema. If such a reaction occurs, therapy with ipratropium bromide nasal solution 0.06% (Nasal Spray) should be stopped at once and alternative treatment should be considered.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNING If symptoms persist more than a few days, contact a licensed practitioner. As with any other drug, if you are pregnant or nursing a baby, seek the advice of a health care professional before using this product. Keep this and all medications out of the reach of children. In case of accidental overdose, seek professional assistance or contact a Poison Control Center immediately.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS See WARNING box. Clostridium difficile associated diarrhea (CDAD) has been reported with use of nearly all antibacterial agents, including clindamycin, and may range in severity from mild diarrhea to fatal colitis. Treatment with antibacterial agents alters the normal flora of the colon leading to overgrowth of C. difficile . C. difficile produces toxins A and B which contribute to the development of CDAD. Hypertoxin producing strains of C. difficile cause increased morbidity and mortality, as these infections can be refractory to antimicrobial therapy and may require colectomy. CDAD must be considered in all patients who present with diarrhea following antibiotic use. Careful medical history is necessary since CDAD has been reported to occur over two months after the administration of antibacterial agents. If CDAD is suspected or confirmed, ongoing antibiotic use not directed against C. difficile may need to be discontinued. Appropriate fluid and electrolyte management, protein supplementation, antibiotic treatment of C. difficile , and surgical evaluation should be instituted as clinically indicated. A careful inquiry should be made concerning previous sensitivities to drugs and other allergens. This product contains benzyl alcohol as a preservative. Benzyl alcohol has been associated with a fatal “Gasping Syndrome” in premature infants. (See PRECAUTIONS − Pediatric Use ). Usage in Meningitis: Since clindamycin does not diffuse adequately into the cerebrospinal fluid, the drug should not be used in the treatment of meningitis. SERIOUS ANAPHYLACTOID REACTIONS REQUIRE IMMEDIATE EMERGENCY TREATMENT WITH EPINEPHRINE. OXYGEN AND INTRAVENOUS CORTICOSTEROIDS SHOULD ALSO BE ADMINISTERED AS INDICATED.",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antimicrobial,"Warnings: for external use only. Flammable. Keep away from heat and flame. When using this product avoid contact with face, eyes, and broken skin. In case of eye contact, flush with plenty of water and seek medical advice. Stop use and ask a doctor if irritation or redness develops. Keep out of reach of children. if swallowed, get medical help or contact a Poison Control Center.",,
tamsulosin hydrochloride,TAMSULOSIN HYDROCHLORIDE,"XLCare Pharmaceuticals, Inc.",UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,Use: Temporary relief of headache.,"Warnings: Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated. Do not use if allergic to any ingredient. Consult a doctor before use for serious conditions or if conditions worsen or persist. If pregnant or nursing, consult a doctor before use.",,
UNKNOWN,UNKNOWN,UNKNOWN,"Reduces occasional pain, pressure and inflammation from sciatica","Warnings: If symptoms persist or worsen, consult a healthcare professional",,
"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,"Sodalis USA, LLC",Purpose Antiperspirant,"Warnings For external use only. Flammable • do not spray near flame or while smoking • contents under pressure • do not crush, puncture or incinerate • do not store at temperature above 120°F Do not use on broken skin Ask a doctor before use if you have kidney disease When using this product • keep away from face and mouth to avoid breathing it • avoid spraying in eyes • use only as directed; intentional misuse by deliberately concentrating and inhaling the contents can be harmful or fatal Stop use if rash or irritation occurs Keep out of reach of children. lf swallowed, get medical help or contact a Poison Control Center right away.",TOPICAL,
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,"Sun Pharmaceutical Industries, Inc.",UNKNOWN,UNKNOWN,TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,purpose Antiseptic,Warnings For external use only: hands Flammable. Keep away from fire or flame.,,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"WARNINGS Cardiovascular Effects Cardiovascular Thrombotic Events Clinical trials of several COX-2 selective and nonselective NSAIDs of up to three years duration have shown an increased risk of serious cardiovascular (CV) thrombotic events, including myocardial infarction (MI) and stroke, which can be fatal. Based on available data, it is unclear that the risk for CV thrombotic events is similar for all NSAIDs. The relative increase in serious CV thrombotic events over baseline conferred by NSAID use appears to be similar in those with and without known CV disease or risk factors for CV disease. However, patients with known CV disease or risk factors had a higher absolute incidence of excess serious CV thrombotic events, due to their increased baseline rate. Some observational studies found that this increased risk of serious CV thrombotic events began as early as the first weeks of treatment. The increase in CV thrombotic risk has been observed most consistently at higher doses. To minimize the potential risk for an adverse CV event in NSAID-treated patients, use the lowest effective dose for the shortest duration possible. Physicians and patients should remain alert for the development of such events, throughout the entire treatment course, even in the absence of previous CV symptoms. Patients should be informed about the symptoms of serious CV events and the steps to take if they occur. There is no consistent evidence that concurrent use of aspirin mitigates the increased risk of serious CV thrombotic events associated with NSAID use. The concurrent use of aspirin and an NSAID, such as etodolac, increases the risk of serious gastrointestinal (GI) events (see WARNINGS ). Status Post Coronary Artery Bypass Graft (CABG) Surgery Two large, controlled clinical trials of a COX-2 selective NSAID for the treatment of pain in the first 10 to 14 days following CABG surgery found an increased incidence of myocardial infarction and stroke. NSAIDs are contraindicated in the setting of CABG (see CONTRAINDICATIONS ). Post-MI Patients Observational studies conducted in the Danish National Registry have demonstrated that patients treated with NSAIDs in the post-MI period were at increased risk of reinfarction, CV-related death, and all-cause mortality beginning in the first week of treatment. In this same cohort, the incidence of death in the first year post MI was 20 per 100 person years in NSAID-treated patients compared to 12 per 100 person years in non-NSAID exposed patients. Although the absolute rate of death declined somewhat after the first year post-MI, the increased relative risk of death in NSAID users persisted over at least the next four years of follow-up. Avoid the use of etodolac in patients with a recent MI unless the benefits are expected to outweigh the risk of recurrent CV thrombotic events. If etodolac is used in patients with a recent MI, monitor patients for signs of cardiac ischemia. Hypertension NSAIDs, including etodolac, can lead to onset of new hypertension or worsening of pre-existing hypertension, either of which may contribute to the increased incidence of CV events. Patients taking thiazides or loop diuretics may have impaired response to these therapies when taking NSAIDs. NSAIDs, including etodolac, should be used with caution in patients with hypertension. Blood pressure (BP) should be monitored closely during the initiation of NSAID treatment and throughout the course of therapy. Heart Failure and Edema The Coxib and traditional NSAID Trialists’ Collaboration meta-analysis of randomized controlled trials demonstrated an approximately two-fold increase in hospitalizations for heart failure in COX-2 selective-treated patients and nonselective NSAID-treated patients compared to placebo-treated patients. In a Danish National Registry study of patients with heart failure, NSAID use increased the risk of MI, hospitalization for heart failure, and death. Additionally, fluid retention and edema have been observed in some patients treated with NSAIDs. Use of etodolac may blunt the CV effects of several therapeutic agents used to treat these medical conditions [e.g., diuretics, ACE inhibitors, or angiotensin receptor blockers (ARBs)] (see Drug Interactions ). Avoid the use of etodolac in patients with severe heart failure unless the benefits are expected to outweigh the risk of worsening heart failure. If etodolac is used in patients with severe heart failure, monitor patients for signs of worsening heart failure. Gastrointestinal (GI) Effects - Risk of GI Ulceration, Bleeding, and Perforation NSAIDs, including etodolac, can cause serious gastrointestinal (GI) adverse events including inflammation, bleeding, ulceration, and perforation of the stomach, small intestine or large intestine, which can be fatal. These serious adverse events can occur at any time, with or without warning symptoms, in patients treated with NSAIDs. Only one in five patients, who develop a serious upper GI adverse event on NSAID therapy, is symptomatic. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in approximately 1% of patients treated for 3 to 6 months, and in about 2% to 4% of patients treated for 1 year. These trends continue with longer duration of use, increasing the likelihood of developing a serious GI event at some time during the course of therapy. However, even short-term therapy is not without risk. Physicians should inform patients about the signs and/or symptoms of serious GI toxicity and what steps to take if they occur. NSAIDs should be prescribed with extreme caution in those with a prior history of ulcer disease or gastrointestinal bleeding. Patients with a prior history of peptic ulcer disease, and/or gastrointestinal bleeding, and who use NSAIDs have a greater than 10-fold risk for developing a GI bleed than patients with neither of these risk factors. Other factors that increase the risk for GI bleeding in patients treated with NSAIDs include concomitant use of oral corticosteroids or anticoagulants, longer duration of NSAID therapy, smoking, use of alcohol, older age, and poor general health status. Most spontaneous reports of fatal GI events are in elderly of debilitated patients, and therefore, special care should be taken in treating this population. To minimize the potential risk for an adverse GI event, the lowest effective dose should be used for the shortest possible duration. Patients and physicians should remain alert for signs and symptoms of GI ulceration and bleeding during NSAID therapy and promptly initiate additional evaluation and treatment if a serious GI adverse event is suspected. This should include discontinuation of the NSAID until a serious GI adverse event is ruled out. For high risk patients, alternate therapies that do not involve NSAIDs should be considered. Renal Effects Long-term administration of NSAIDs has resulted in renal papillary necrosis and other renal injury. Renal toxicity has also been seen in patients in whom renal prostaglandins have a compensatory role in the maintenance of renal perfusion. In these patients, administration of a nonsteroidal anti-inflammatory drug may cause a dose-dependent reduction in prostaglandin formation and, secondarily, in renal blood flow, which may precipitate overt renal decompensation. Patients at a greater risk of this reaction are those with impaired renal function, heart failure, liver dysfunction, those taking diuretics and ACE inhibitors, and the elderly. Discontinuation of NSAID therapy is usually followed by recovery to the pretreatment state. Renal pelvic transitional epithelial hyperplasia, a spontaneous change occurring with variable frequency, was observed with increased frequency in treated male rats in a 2-year chronic study. Advanced Renal Disease No information is available from controlled clinical studies regarding the use of etodolac in patients with advanced renal disease. Therefore, treatment with etodolac is not recommended in these patients with advanced renal disease. If etodolac therapy must be initiated, close monitoring of the patient’s renal function is advisable. Anaphylactoid Reactions As with other NSAIDS, anaphylactoid reactions may occur in patients without prior exposure to etodolac. Etodolac should not be given to patients with the aspirin triad. This symptom complex typically occurs in asthmatic patients who experience rhinitis with or without nasal polyps, or who exhibit severe, potentially fatal bronchospasm after taking aspirin or other NSAIDs. Fatal reactions have been reported in such patients (see CONTRAINDICATIONS and PRECAUTIONS , General , Pre-existing Asthma ). Emergency help should be sought in cases where an anaphylactoid reaction occurs. Skin Reactions NSAIDs, including etodolac, can cause serious skin adverse events such as exfoliative dermatitis, Stevens-Johnson Syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal. These serious events may occur without warning. Patients should be informed about the signs and symptoms of serious skin manifestations and use of the drug should be discontinued at the first appearance of skin rash or any other sign of hypersensitivity. Pregnancy In late pregnancy, the third trimester, as with other NSAIDs, etodolac should be avoided because it may cause premature closure of the ductus arteriosus (see PRECAUTIONS , Pregnancy , Non-teratogenic Effects ).",,
Lights Povindone Iodine Scrub,POVIDONE-IODINE,"Lights Medical Manufacture Co., Ltd.",Purpose: Antiseptic,Warnings: Do not use if allergic to iodine For external use only Do not use in eyes Avoid pooling beneath patient. Prolonged exposure to wet solution may cause skiin irritation.,TOPICAL,
Calcium Acetate,CALCIUM ACETATE,"Cipla USA Inc.,",UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,PURPOSE Purpose: Humectant,"WARNINGS Warnings: For external use only 1. When you feel irregular response on the applied area such as red spots, swollen skin, itching or rash caused by exposure to direct sunlight, please consult a dermatologist 2. Do not apply to the areas of skin with wounds or other skin problems 3. Cautions on storage 1) Keep out of the reach of children 2) Do not store in direct sunlight",,
UNKNOWN,UNKNOWN,UNKNOWN,Uses: To help alleviate the symptoms of grief.,"Warning: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Use only as directed.",,
UNKNOWN,UNKNOWN,UNKNOWN,"PURPOSE dry scaly skin dry and cracked skin, body rash itching and redness intense itching behind the ears, redness, dry and cracked skin itching dry skin and itching itching rash","WARNINGS Stop use and ask a doctor if symptoms worsen or persist for more than 7 days. If pregnant or breast-feeding , ask a health professional before use. Keep out of reach of children.",,
ENTRESTO,SACUBITRIL AND VALSARTAN,Novartis Pharmaceuticals Corporation,UNKNOWN,UNKNOWN,ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose First aid antiseptic,"Warnings For external use only. When using this product avoid contact with eyes. In case of eye contact flush eyes with water . Stop use and ask a doctor if irritation or redness develops, or if condition persists for more than 72 hours",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Camphor - cough suppressant/topical analgesic Eucalyptus oil - cough suppressant Menthol - Cough suppressant/topical analgesic,"Warnings For external use only Ask a doctor before use if you have • cough that occurs with too much phlegm (mucus) • chronic cough that lasts or as occurs with smoking, asthma, or emphysema When using this product • do not heat • do not microwave • do not add to hot water or any container where heating water. May cause splattering and result in burns. • do not take by mouth or place in nostrils • do not get into eyes • do not bandage tightly • do not apply to wounds or damaged skin Stop use and ask a doctor if • cough lasts more than 7 days, comes back, or occurs with fever, rash, or headache that lasts. These could be signs of a serious condition. • muscles aches and pains worsen, persist for more than 7 days, or clear up and occur again within a few days If pregnant or breast-feeding ask a health professional before use. Keep Out of Reach of Children In case of accidental ingestion, get medical help or contact a Poison Control Center right away.",,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Antiperspirant,"Warnings For external use only. Do not use on broken skin Ask a doctor before use if you have kidney disease Stop use if rash or irritation occurs Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",,
VERADEX-E,PETROLATUM AND LANOLIN,"ABBE Laboratories, Inc.",Purpose Petrolatum USP 58.95% .................................. Protectant Anhydrous Lanolin USP 35% ....................... Protectant,"Warnings: For external use only. Discontinue use if signs of irritation appear. If condition worsens consult a doctor. Do not use over deep, infected, or puncture wounds.",TOPICAL,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Purpose: Hoarse cough,"Warning If pregnant or nursing, consult a practitioner before using.",,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WARNINGS,,
UNKNOWN,UNKNOWN,UNKNOWN,Purpose Topical Anesthetic,"Warnings For external use only. Avoid contact with eyes. Not for prolonged use. Do not use in large quantities, particularly over raw surfaces or blistered areas.",,
UNKNOWN,UNKNOWN,UNKNOWN,HOMEOPATHIC INDICATIONS: For temporary relief of symptoms related to attention deficit including hyperactivity and poor concentration.** **These statements are based upon traditional homeopathic principles. They have not been reviewed by the Food and Drug Administration.,"WARNINGS: Keep out of reach of children. In case of overdose, contact physician or a Poison Control Center right away. If pregnant or breast-feeding, ask a health professional before use. Tamper seal: ""Sealed for Your Protection."" Do not use if seal is broken or missing.",,
Etodolac,ETODOLAC,A-S Medication Solutions,UNKNOWN,"WARNINGS CARDIOVASCULAR EFFECTS Cardiovascular Thrombotic Events Clinical trials of several COX-2 selective and nonselective NSAIDs of up to three years duration have shown an increased risk of serious cardiovascular (CV) thrombotic events, including myocardial infarction (MI) and stroke, which can be fatal. Based on available data, it is unclear that the risk for CV thrombotic events is similar for all NSAIDs. The relative increase in serious CV thrombotic events over baseline conferred by NSAID use appears to be similar in those with and without known CV disease or risk factors for CV disease. However, patients with known CV disease or risk factors had a higher absolute incidence of excess serious CV thrombotic events, due to their increased baseline rate. Some observational studies found that this increased risk of serious CV thrombotic events began as early as the first weeks of treatment. The increase in CV thrombotic risk has been observed most consistently at higher doses. To minimize the potential risk for an adverse CV event in NSAID-treated patients, use the lowest effective dose for the shortest duration possible. Physicians and patients should remain alert for the development of such events, throughout the entire treatment course, even in the absence of previous CV symptoms. Patients should be informed about the symptoms of serious CV events and the steps to take if they occur. There is no consistent evidence that concurrent use of aspirin mitigates the increased risk of serious CV thrombotic events associated with NSAID use. The concurrent use of aspirin and an NSAID, such as etodolac, increases the risk of serious gastrointestinal (GI) events (see WARNINGS ). Status Post Coronary Artery Bypass Graft (CABG) Surgery Two large, controlled clinical trials of a COX-2 selective NSAID for the treatment of pain in the first 10 to 14 days following CABG surgery found an increased incidence of myocardial infarction and stroke. NSAIDs are contraindicated in the setting of CABG (see CONTRAINDICATIONS ). Post-MI Patients Observational studies conducted in the Danish National Registry have demonstrated that patients treated with NSAIDs in the post-MI period were at increased risk of reinfarction, CV-related death, and all-cause mortality beginning in the first week of treatment. In this same cohort, the incidence of death in the first year post MI was 20 per 100 person years in NSAID-treated patients compared to 12 per 100 person years in non-NSAID exposed patients. Although the absolute rate of death declined somewhat after the first year post-MI, the increased relative risk of death in NSAID users persisted over at least the next four years of follow-up. Avoid the use of etodolac in patients with a recent MI unless the benefits are expected to outweigh the risk of recurrent CV thrombotic events. If etodolac is used in patients with a recent MI, monitor patients for signs of cardiac ischemia. Hypertension NSAIDs, including etodolac, can lead to onset of new hypertension or worsening of pre-existing hypertension, either of which may contribute to the increased incidence of CV events. Patients taking thiazides or loop diuretics may have impaired response to these therapies when taking NSAIDs. NSAIDs, including etodolac, should be used with caution in patients with hypertension. Blood pressure (BP) should be monitored closely during the initiation of NSAID treatment and throughout the course of therapy. Heart Failure and Edema The Coxib and traditional NSAID Trialists' Collaboration meta-analysis of randomized controlled trials demonstrated an approximately two-fold increase in hospitalizations for heart failure in COX-2 selective-treated patients and nonselective NSAID-treated patients compared to placebo-treated patients. In a Danish National Registry study of patients with heart failure, NSAID use increased the risk of MI, hospitalization for heart failure, and death. Additionally, fluid retention and edema have been observed in some patients treated with NSAIDs. Use of etodolac may blunt the CV effects of several therapeutic agents used to treat these medical conditions [e.g., diuretics, ACE inhibitors, or angiotensin receptor blockers (ARBs)] (see DRUG INTERACTIONS ). Avoid the use of etodolac in patients with severe heart failure unless the benefits are expected to outweigh the risk of worsening heart failure. If etodolac is used in patients with severe heart failure, monitor patients for signs of worsening heart failure. Gastrointestinal Effects - Risk of Ulceration, Bleeding, and Perforation NSAIDs, including etodolac, can cause serious gastrointestinal (GI) adverse events including inflammation, bleeding, ulceration, and perforation of the stomach, small intestine or large intestine, which can be fatal. These serious adverse events can occur at any time, with or without warning symptoms, in patients treated with NSAIDs. Only one in five patients, who develop a serious upper GI adverse event on NSAID therapy, is symptomatic. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in approximately 1% of patients treated for 3 to 6 months, and in about 2 to 4% of patients treated for one year. These trends continue with longer duration of use, increasing the likelihood of developing a serious GI event at some time during the course of therapy. However, even short-term therapy is not without risk. Physicians should inform patients about the signs and/or symptoms of serious GI toxicity and what steps to take if they occur. NSAIDs should be prescribed with extreme caution in those with a prior history of ulcer disease or gastrointestinal bleeding. Patients with a prior history of peptic ulcer disease, and/or gastrointestinal bleeding , and who use NSAIDs have a greater than 10-fold increased risk for developing a GI bleed compared to patients with neither of these risk factors. Other factors that increase the risk for GI bleeding in patients treated with NSAIDs include concomitant use of oral corticosteroids or anticoagulants, longer duration of NSAID therapy, smoking, use of alcohol, older age, and poor general health status. Most spontaneous reports of fatal GI events are in elderly or debilitated patients, and therefore, special care should be taken in treating this population. To minimize the potential risk for an adverse GI event in patients treated with an NSAID, the lowest effective dose should be used for the shortest possible duration. Patients and physicians should remain alert for signs and symptoms of GI ulceration and bleeding during NSAID therapy and promptly initiate additional evaluation and treatment if a serious GI adverse event is suspected. This should include discontinuation of the NSAID until a serious GI adverse event is ruled out. For high risk patients, alternate therapies that do not involve NSAIDs should be considered. Renal Effects Long-term administration of NSAIDs has resulted in renal papillary necrosis and other renal injury. Renal toxicity has also been seen in patients in whom renal prostaglandins have a compensatory role in the maintenance of renal perfusion. In these patients, administration of a nonsteroidal anti-inflammatory drug may cause a dose-dependent reduction in prostaglandin formation and, secondarily, in renal blood flow, which may precipitate overt renal decompensation. Patients at greater risk of this reaction are those with impaired renal function, heart failure, liver dysfunction, those taking diuretics and ACE inhibitors, and the elderly. Discontinuation of NSAID therapy is usually followed by recovery to the pretreatment state. Renal pelvic transitional epithelial hyperplasia, a spontaneous change occurring with variable frequency, was observed with increased frequency in treated male rats in a 2-year chronic study. Caution is recommended in patients with pre-existing kidney disease. Advanced Renal Disease No information is available from controlled clinical studies regarding the use of etodolac, in patients with advanced renal disease. Therefore, treatment with etodolac is not recommended in these patients with advanced renal disease. If etodolac therapy must be initiated, close monitoring of the patient's renal function is advisable. Anaphylactoid Reactions As with other NSAIDs, anaphylactoid reactions may occur in patients without prior exposure to etodolac. Etodolac should not be given to patients with the aspirin triad. This symptom complex typically occurs in asthmatic patients who experience rhinitis with or without nasal polyps, or who exhibit severe, potentially fatal bronchospasm after taking aspirin or other NSAIDs. Fatal reactions have been reported in such patients (see CONTRAINDICATIONS and PRECAUTIONS, General, Pre-existing Asthma ). Emergency help should be sought in cases where an anaphylactoid reaction occurs. Serious Skin Reactions NSAIDs, including etodolac, can cause serious skin adverse reactions such as exfoliative dermatitis, Stevens-Johnson Syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal. NSAIDs can also cause fixed drug eruption (FDE). FDE may present as a more severe variant known as generalized bullous fixed drug eruption (GBFDE), which can be life-threatening. These serious events may occur without warning. Inform patients about the signs and symptoms of serious skin reactions, and to discontinue the use of etodolac tablets at the first appearance of skin rash or any other sign of hypersensitivity. Etodolac tablets is contraindicated in patients with previous serious skin reactions to NSAIDs (see CONTRAINDICATIONS ). Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS) Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS) has been reported in patients taking NSAIDs such as etodolac. Some of these events have been fatal or life-threatening. DRESS typically, although not exclusively, presents with fever, rash, lymphadenopathy, and/or facial swelling. Other clinical manifestations may include hepatitis, nephritis, hematological abnormalities, myocarditis, or myositis. Sometimes symptoms of DRESS may resemble an acute viral infection. Eosinophilia is often present. Because this disorder is variable in its presentation, other organ systems not noted here may be involved. It is important to note that early manifestations of hypersensitivity, such as fever or lymphadenopathy, may be present even though rash is not evident. If such signs or symptoms are present, discontinue etodolac and evaluate the patient immediately. Fetal Toxicity Premature Closure of Fetal Ductus Arteriosus: Avoid use of NSAIDs, including etodolac, in pregnant women at about 30 weeks gestation and later. NSAIDs including etodolac, increase the risk of premature closure of the fetal ductus arteriosus at approximately this gestational age. Oligohydramnios/Neonatal Renal Impairment: Use of NSAIDs, including etodolac, at about 20 weeks gestation or later in pregnancy may cause fetal renal dysfunction leading to oligohydramnios and, in some cases, neonatal renal impairment. These adverse outcomes are seen, on average, after days to weeks of treatment, although oligohydramnios has been infrequently reported as soon as 48 hours after NSAID initiation. Oligohydramnios is often, but not always, reversible with treatment discontinuation. Complications of prolonged oligohydramnios may, for example, include limb contractures and delayed lung maturation. In some postmarketing cases of impaired neonatal renal function, invasive procedures such as exchange transfusion or dialysis were required. If NSAID treatment is necessary between about 20 weeks and 30 weeks gestation, limit etodolac use to the lowest effective dose and shortest duration possible. Consider ultrasound monitoring of amniotic fluid if etodolac treatment extends beyond 48 hours. Discontinue etodolac if oligohydramnios occurs and follow up according to clinical practice [see PRECAUTIONS; Pregnancy ].",ORAL,
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Warnings BEFORE THERAPY WITH CEFIZOX IS INSTITUTED, CAREFUL INQUIRY SHOULD BE MADE TO DETERMINE WHETHER THE PATIENT HAS HAD PREVIOUS HYPERSENSITIVITY REACTIONS TO CEFIZOX, OTHER CEPHALOSPORINS, PENICILLINS, OR OTHER DRUGS. IF THIS PRODUCT IS TO BE GIVEN TO PENICILLIN­SENSITIVE PATIENTS, CAUTION SHOULD BE EXERCISED BECAUSE CROSS HYPERSENSITIVITY AMONG BETA‐LACTAM ANTIBIOTICS HAS BEEN CLEARLY DOCUMENTED AND MAY OCCUR IN UP TO 10% OF PATIENTS WITH A HISTORY OF PENICILLIN ALLERGY. IF AN ALLERGIC REACTION TO CEFIZOX OCCURS, DISCONTINUE THE DRUG. SERIOUS ACUTE HYPERSENSITIVITY REACTIONS MAY REQUIRE TREATMENT WITH EPINEPHRINE AND OTHER EMERGENCY MEASURES, INCLUDING OXYGEN, IV FLUIDS, IV ANTIHISTAMINES, CORTICOSTEROIDS, PRESSOR AMINES, AND AIRWAY MANAGEMENT, AS CLINICALLY INDICATED. Pseudomembranous colitis has been reported with nearly all antibacterial agents, including ceftizoxime, and may range in severity from mild to life threatening. Therefore, it is important to consider this diagnosis in patients who present with diarrhea subsequent to the administration of antibacterial agents. Treatment with antibacterial agents alters the normal flora of the colon and may permit overgrowth of clostridia. Studies indicate that a toxin produced by Clostridium difficile is a primary cause of “antibiotic‐associated” colitis. After the diagnosis of pseudomembranous colitis has been established, appropriate therapeutic measures should be initiated. Mild cases of pseudomembranous colitis usually respond to drug discontinuation alone. In moderate to severe cases, consideration should be given to management with fluids and electrolytes, protein supplementation, and treatment with an antibacterial drug clinically effective against Clostridium difficile colitis.",,
